record_id,language,chapter_id,chapter_title,dialogue,length_chars,length_words,dialogue_id,character,speaker,speaker_confidence,attribution_method,emotion,emotion_score,polarity,subjectivity,affect_method,embedding_index,parallel_group,alignment_score,aligned_to_record_id,alignment_method,semantic_cluster,cluster_probability,cluster_method
en_ch02_dlg0000,en,2,CHAPTER II,Please draw me a sheep ! - Hein! - Draw me a sheep...,53,13,D000000,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.2,multilingual_lexicon_character_context_v2,0,align_0_929,0.8979,fr_ch02_dlg0004,cosine_multilingual_embeddings_v1,0,0.3134,kmeans_multilingual_embeddings_v1
en_ch02_dlg0001,en,2,CHAPTER II,What are you doing here ?,25,6,D000001,unknown,unknown,0.0,no_match,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,1,align_1_462,0.9293,es_ch02_dlg0003,cosine_multilingual_embeddings_v1,6,0.279,kmeans_multilingual_embeddings_v1
en_ch02_dlg0002,en,2,CHAPTER II,Please draw me a sheep...,25,5,D000002,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.2,multilingual_lexicon_character_context_v2,2,align_2_929,0.9618,fr_ch02_dlg0004,cosine_multilingual_embeddings_v1,0,0.2869,kmeans_multilingual_embeddings_v1
en_ch02_dlg0003,en,2,CHAPTER II,It does not matter. Draw me a sheep.,36,8,D000003,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.2,multilingual_lexicon_character_context_v2,3,align_3_930,0.8323,fr_ch02_dlg0005,cosine_multilingual_embeddings_v1,0,0.2333,kmeans_multilingual_embeddings_v1
en_ch02_dlg0004,en,2,CHAPTER II,"No ! No ! I do not want an elephant in a boa. A boa is very dangerous, and an elephant is very cumbersome. My place is tight. I need a sheep. Draw me a sheep.",158,36,D000004,unknown,unknown,0.0,no_match,fear,1.0,0.0,1.0,multilingual_lexicon_character_context_v2,4,align_4_931,0.7346,fr_ch02_dlg0006,cosine_multilingual_embeddings_v1,0,0.1922,kmeans_multilingual_embeddings_v1
en_ch02_dlg0005,en,2,CHAPTER II,No ! That one is already very ill. Do another one.,50,11,D000005,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,5,align_5_932,0.8931,fr_ch02_dlg0007,cosine_multilingual_embeddings_v1,10,0.1712,kmeans_multilingual_embeddings_v1
en_ch02_dlg0006,en,2,CHAPTER II,No! That one is already very ill. Do another one.,49,10,D000006,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,6,align_6_932,0.8947,fr_ch02_dlg0007,cosine_multilingual_embeddings_v1,10,0.171,kmeans_multilingual_embeddings_v1
en_ch02_dlg0007,en,2,CHAPTER II,"You see ... it's not a sheep, it's a ram. He has horns ...",58,14,D000007,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,7,align_7_933,0.8889,fr_ch02_dlg0008,cosine_multilingual_embeddings_v1,0,0.3207,kmeans_multilingual_embeddings_v1
en_ch02_dlg0008,en,2,CHAPTER II,This one is too old. I want a long-lived sheep.,47,10,D000008,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.2,multilingual_lexicon_character_context_v2,8,align_8_934,0.9736,fr_ch02_dlg0009,cosine_multilingual_embeddings_v1,0,0.2518,kmeans_multilingual_embeddings_v1
en_ch02_dlg0009,en,2,CHAPTER II,That's the box. The sheep you want is in it.,44,10,D000009,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,9,align_9_935,0.9575,fr_ch02_dlg0010,cosine_multilingual_embeddings_v1,0,0.2463,kmeans_multilingual_embeddings_v1
en_ch02_dlg0010,en,2,CHAPTER II,That's exactly how I wanted it!,31,6,D000010,unknown,unknown,0.0,no_match,curiosity,1.0,0.0,0.75,multilingual_lexicon_character_context_v2,10,align_10_469,0.3811,es_ch02_dlg0011,cosine_multilingual_embeddings_v1,3,0.1359,kmeans_multilingual_embeddings_v1
en_ch02_dlg0011,en,2,CHAPTER II,He leaned his head toward the drawing:,38,7,D000011,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,11,align_11_939,0.3617,fr_ch02_dlg0015,cosine_multilingual_embeddings_v1,10,0.1495,kmeans_multilingual_embeddings_v1
en_ch02_dlg0013,en,2,CHAPTER II,Draw me a sheep...,18,4,D000012,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.2,multilingual_lexicon_character_context_v2,12,align_12_926,0.9526,fr_ch02_dlg0000,cosine_multilingual_embeddings_v1,0,0.3266,kmeans_multilingual_embeddings_v1
en_ch02_dlg0015,en,2,CHAPTER II,Because at home it's very small ...,35,7,D000013,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,13,align_13_937,0.8309,fr_ch02_dlg0013,cosine_multilingual_embeddings_v1,11,0.1239,kmeans_multilingual_embeddings_v1
en_ch02_dlg0016,en,2,CHAPTER II,Surely that will suffice. I gave you a tiny sheep.,50,10,D000014,unknown,unknown,0.0,no_match,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,14,align_14_938,0.9124,fr_ch02_dlg0014,cosine_multilingual_embeddings_v1,0,0.2834,kmeans_multilingual_embeddings_v1
en_ch03_dlg0000,en,3,CHAPTER III,What is that thing?,19,4,D000015,little_prince,little_prince,0.6,chapter_dominance,curiosity,1.0,0.0,0.65,multilingual_lexicon_character_context_v2,15,align_15_473,0.8904,es_ch03_dlg0000,cosine_multilingual_embeddings_v1,6,0.2694,kmeans_multilingual_embeddings_v1
en_ch03_dlg0001,en,3,CHAPTER III,And I was proud to tell him I was flying. Then he exclaimed:,60,13,D000016,little_prince,little_prince,0.6,chapter_dominance,neutral,0.0,0.0,0.1,multilingual_lexicon_character_context_v2,16,align_16_474,0.4587,es_ch03_dlg0001,cosine_multilingual_embeddings_v1,10,0.2224,kmeans_multilingual_embeddings_v1
en_ch03_dlg0002,en,3,CHAPTER III,Ah! Now that's funny...,23,4,D000017,little_prince,little_prince,0.6,chapter_dominance,neutral,0.0,0.0,0.0,multilingual_lexicon_character_context_v2,17,align_17_945,0.9466,fr_ch03_dlg0006,cosine_multilingual_embeddings_v1,3,0.2578,kmeans_multilingual_embeddings_v1
